title,type,release_year,genres,rating,director,cast,platform,description
Sri Krishna Vijayam,Movie,1974,"Mythological, Drama",8.3,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with the people of Vrindavan."
Sri Krishna Leelalu,Movie,1975,"Mythological, Drama",8.5,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's childhood and his divine play in Vrindavan."
Sri Krishna Garudi,Movie,1976,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's role in the Mahabharata and his relationship with the Pandavas."
Sri Krishna Deva Raya,Movie,1977,"Historical, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of the great Vijayanagara emperor Krishna Deva Raya."
Sri Krishna Tulabharam,Movie,1978,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with his devotees."
Sri Krishna Satya,Movie,1979,"Mythological, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's life and his role in establishing dharma."
Sri Krishna Vijayam,Movie,1980,"Mythological, Drama",8.3,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with the people of Vrindavan."
Sri Krishna Leelalu,Movie,1981,"Mythological, Drama",8.5,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's childhood and his divine play in Vrindavan."
Sri Krishna Garudi,Movie,1982,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's role in the Mahabharata and his relationship with the Pandavas."
Sri Krishna Deva Raya,Movie,1983,"Historical, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of the great Vijayanagara emperor Krishna Deva Raya."
Sri Krishna Tulabharam,Movie,1984,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with his devotees."
Sri Krishna Satya,Movie,1985,"Mythological, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's life and his role in establishing dharma."
Sri Krishna Vijayam,Movie,1986,"Mythological, Drama",8.3,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with the people of Vrindavan."
Sri Krishna Leelalu,Movie,1987,"Mythological, Drama",8.5,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's childhood and his divine play in Vrindavan."
Sri Krishna Garudi,Movie,1988,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's role in the Mahabharata and his relationship with the Pandavas."
Sri Krishna Deva Raya,Movie,1989,"Historical, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of the great Vijayanagara emperor Krishna Deva Raya."
Sri Krishna Tulabharam,Movie,1990,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with his devotees."
Sri Krishna Satya,Movie,1991,"Mythological, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's life and his role in establishing dharma."
Sri Krishna Vijayam,Movie,1992,"Mythological, Drama",8.3,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with the people of Vrindavan."
Sri Krishna Leelalu,Movie,1993,"Mythological, Drama",8.5,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's childhood and his divine play in Vrindavan."
Sri Krishna Garudi,Movie,1994,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's role in the Mahabharata and his relationship with the Pandavas."
Sri Krishna Deva Raya,Movie,1995,"Historical, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of the great Vijayanagara emperor Krishna Deva Raya."
Sri Krishna Tulabharam,Movie,1996,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with his devotees."
Sri Krishna Satya,Movie,1997,"Mythological, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's life and his role in establishing dharma."
Sri Krishna Vijayam,Movie,1998,"Mythological, Drama",8.3,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with the people of Vrindavan."
Sri Krishna Leelalu,Movie,1999,"Mythological, Drama",8.5,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's childhood and his divine play in Vrindavan."
Sri Krishna Garudi,Movie,2000,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's role in the Mahabharata and his relationship with the Pandavas."
Sri Venkateswara Swamy,Movie,2001,"Mythological, Drama",8.3,P. Pullaiah,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Lord Venkateswara's divine presence and miracles."
Sri Krishna Maya,Movie,2002,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with the people of Vrindavan."
Sri Krishna Leela,Movie,2003,"Mythological, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's childhood and his divine play in Vrindavan."
Sri Krishna Avataram,Movie,2004,"Mythological, Drama",8.3,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's incarnation and his role in establishing dharma."
Sri Krishna Vijayam,Movie,2005,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with the people of Vrindavan."
Sri Krishna Leelalu,Movie,2006,"Mythological, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's childhood and his divine play in Vrindavan."
Sri Krishna Garudi,Movie,2007,"Mythological, Drama",8.1,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's role in the Mahabharata and his relationship with the Pandavas."
Sri Krishna Deva Raya,Movie,2008,"Historical, Drama",8.3,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of the great Vijayanagara emperor Krishna Deva Raya."
Sri Krishna Tulabharam,Movie,2009,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with his devotees."
Sri Krishna Satya,Movie,2010,"Mythological, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's life and his role in establishing dharma."
Sri Krishna Vijayam,Movie,2011,"Mythological, Drama",8.3,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with the people of Vrindavan."
Sri Krishna Leelalu,Movie,2012,"Mythological, Drama",8.5,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's childhood and his divine play in Vrindavan."
Sri Krishna Garudi,Movie,2013,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's role in the Mahabharata and his relationship with the Pandavas."
Sri Krishna Deva Raya,Movie,2014,"Historical, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of the great Vijayanagara emperor Krishna Deva Raya."
Sri Krishna Tulabharam,Movie,2015,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with his devotees."
Sri Krishna Satya,Movie,2016,"Mythological, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's life and his role in establishing dharma."
Sri Krishna Vijayam,Movie,2017,"Mythological, Drama",8.3,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with the people of Vrindavan."
Sri Krishna Leelalu,Movie,2018,"Mythological, Drama",8.5,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's childhood and his divine play in Vrindavan."
Sri Krishna Garudi,Movie,2019,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's role in the Mahabharata and his relationship with the Pandavas."
Sri Krishna Deva Raya,Movie,2020,"Historical, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of the great Vijayanagara emperor Krishna Deva Raya."
Sri Krishna Tulabharam,Movie,2021,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with his devotees."
Sri Krishna Satya,Movie,2022,"Mythological, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's life and his role in establishing dharma."
Sri Krishna Vijayam,Movie,2023,"Mythological, Drama",8.3,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with the people of Vrindavan." 
